------+----------------------+-------------+----+---------+------+-----------------------+----------------------------------------------------------------------
 Line | # File          Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code
------+----------------------+-------------+----+---------+------+-----------------------+----------------------------------------------------------------------
    1 |  1 testfile.s      1 | Directive   | 11 |         |    0 | 00/8000               |             lst   off            
    2 |  1 testfile.s      2 | Directive   | 11 |         |    0 | 00/8000               |             xc    off            
    3 |  1 testfile.s      3 | Directive   | 11 |         |    0 | 00/8000               |             xc                   
    4 |  1 testfile.s      4 | Directive   | 11 |         |    0 | 00/8000               |             xc                   
    5 |  1 testfile.s      5 | Directive   | 00 |         |    0 | 00/8000               |             mx    %00            
    6 |  1 testfile.s      6 | Directive   | 00 |         |    0 | 00/8000               |             org   $4000          
    7 |  1 testfile.s      7 | Empty       | 00 |         |    0 | 00/4000               |                                  
    8 |  1 testfile.s      8 | Equivalence | 00 |         |    0 | 00/4000               | dp          =     $A5            
    9 |  1 testfile.s      9 | Equivalence | 00 |         |    0 | 00/4000               | expr        =     $0405          
   10 |  1 testfile.s     10 | Equivalence | 00 |         |    0 | 00/4000               | lexpr       =     $010203        
   11 |  1 testfile.s     11 | Equivalence | 00 |         |    0 | 00/4000               | immed       =     $123456        
   12 |  1 testfile.s     12 | Equivalence | 00 |         |    0 | 00/4000               | neg         equ   -16            
   13 |  1 testfile.s     13 | Empty       | 00 |         |    0 | 00/4000               |                                  
   14 |  1 testfile.s     14 | Directive   | 00 |         |    0 | 00/4000               |             lst                  
   15 |  1 testfile.s     15 | Empty       | 00 |         |    0 | 00/4000               | start00                          
   16 |  1 testfile.s     16 | Code        | 00 |         |    1 | 00/4000 : 00          |             brk                  ;$00
   17 |  1 testfile.s     17 | Code        | 00 |         |    2 | 00/4001 : 01 A5       |             ora   ({$A5},x)      
   18 |  1 testfile.s     18 | Code        | 00 |         |    2 | 00/4003 : 02 BA       |             cop   $BA            
   19 |  1 testfile.s     19 | Code        | 00 |         |    2 | 00/4005 : 03 BC       |             ora   $BC,S          
   20 |  1 testfile.s     20 | Code        | 00 |         |    2 | 00/4007 : 04 A5       |             tsb   {$A5}          
   21 |  1 testfile.s     21 | Code        | 00 |         |    2 | 00/4009 : 05 A5       |             ora   {$A5}          
   22 |  1 testfile.s     22 | Code        | 00 |         |    2 | 00/400B : 06 A5       |             asl   {$A5}          
   23 |  1 testfile.s     23 | Code        | 00 |         |    2 | 00/400D : 07 A5       |             ora   [{$A5}]        
   24 |  1 testfile.s     24 | Code        | 00 |         |    1 | 00/400F : 08          |             php                  
   25 |  1 testfile.s     25 | Code        | 00 |         |    3 | 00/4010 : 09 56 34    |             ora   #{$123456}     
   26 |  1 testfile.s     26 | Code        | 00 |         |    1 | 00/4013 : 0A          |             asl                  
   27 |  1 testfile.s     27 | Code        | 00 |         |    1 | 00/4014 : 0B          |             phd                  
   28 |  1 testfile.s     28 | Code        | 00 |         |    3 | 00/4015 : 0C 05 04    |             tsb   {$0405}        
   29 |  1 testfile.s     29 | Code        | 00 |         |    3 | 00/4018 : 0D 05 04    |             ora   {$0405}        
   30 |  1 testfile.s     30 | Code        | 00 |         |    3 | 00/401B : 0E 05 04    |             asl   {$0405}        
   31 |  1 testfile.s     31 | Code        | 00 |         |    4 | 00/401E : 0F 03 02 01 |             oral  {$010203}      
   32 |  1 testfile.s     32 | Empty       | 00 |         |    0 | 00/4022               |                                  
   33 |  1 testfile.s     33 | Empty       | 00 |         |    0 | 00/4022               | start10                          
   34 |  1 testfile.s     34 | Code        | 00 |         |    2 | 00/4022 : 10 FE       |             bpl   start10        
